,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,MRG,REGULARITY,CHURN
29,K > 24 month,150.0,1.0,300.0,100.0,2.0,970.0,2.0,NO,14,1
30,K > 24 month,3000.0,8.0,2990.0,997.0,10.0,6519.0,6.0,NO,38,1
31,K > 24 month,700.0,3.0,711.0,237.0,5.0,0.0,3.0,NO,7,1
32,K > 24 month,3500.0,6.0,3471.0,1157.0,8.0,2218.0,11.0,NO,32,1
33,K > 24 month,1400.0,4.0,1655.0,552.0,9.0,2251.0,0.0,NO,18,1
34,K > 24 month,200.0,1.0,200.0,67.0,1.0,333.0,8.0,NO,2,1
35,K > 24 month,3800.0,5.0,3787.0,1262.0,6.0,6457.0,5.0,NO,22,1
36,H 15-18 month,3000.0,1.0,5985.0,1995.0,9.0,1360.0,50.0,NO,24,1
37,K > 24 month,500.0,1.0,1000.0,333.0,2.0,21.0,8.0,NO,9,1
38,K > 24 month,500.0,1.0,500.0,167.0,1.0,2.0,16.0,NO,6,1
39,K > 24 month,700.0,2.0,692.0,231.0,5.0,0.0,9.0,NO,17,1
40,K > 24 month,400.0,3.0,500.0,167.0,4.0,382.0,2.0,NO,15,1
41,K > 24 month,1500.0,2.0,1492.0,497.0,3.0,2770.0,7.0,NO,40,1
42,K > 24 month,1300.0,3.0,1290.0,430.0,7.0,4135.0,4.0,NO,34,1
43,K > 24 month,300.0,3.0,300.0,100.0,3.0,288.0,1.0,NO,1,1
44,K > 24 month,4000.0,5.0,3999.0,1333.0,6.0,593.0,8.0,NO,12,1
45,K > 24 month,6600.0,10.0,7002.0,2334.0,11.0,2852.0,11.0,NO,20,1
46,K > 24 month,1750.0,3.0,2350.0,783.0,7.0,606.0,98.0,NO,21,1
47,K > 24 month,300.0,1.0,288.0,96.0,2.0,207.0,7.0,NO,9,1
48,J 21-24 month,73500.0,29.0,88688.0,29563.0,37.0,14848.0,178.0,NO,53,1
49,K > 24 month,400.0,3.0,399.0,133.0,4.0,181.0,0.0,NO,1,1
50,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,1.0,NO,15,1
51,K > 24 month,2000.0,3.0,1996.0,665.0,3.0,0.0,26.0,NO,2,1
52,K > 24 month,3600.0,5.0,3587.0,1196.0,7.0,652.0,1.0,NO,2,1
53,K > 24 month,3500.0,4.0,6009.0,2003.0,7.0,11909.0,1.0,NO,30,1
54,K > 24 month,500.0,1.0,500.0,167.0,1.0,10.0,0.0,NO,4,1
55,K > 24 month,1000.0,1.0,990.0,330.0,1.0,3.0,3.0,NO,1,1
56,K > 24 month,5000.0,10.0,5210.0,1737.0,14.0,9547.0,1.0,NO,16,1
57,K > 24 month,1050.0,4.0,944.0,315.0,3.0,2193.0,0.0,NO,20,1
58,K > 24 month,1800.0,5.0,2000.0,667.0,6.0,4.0,33.0,NO,34,1
59,K > 24 month,2650.0,10.0,2611.0,870.0,13.0,3026.0,7.0,NO,61,1
60,K > 24 month,4400.0,14.0,4757.0,1586.0,21.0,8614.0,0.0,NO,2,1
61,K > 24 month,11500.0,23.0,11457.0,3819.0,27.0,24619.0,0.0,NO,58,1
62,K > 24 month,1700.0,5.0,1653.0,551.0,7.0,1.0,3.0,NO,18,1
63,K > 24 month,800.0,3.0,800.0,267.0,3.0,460.0,8.0,NO,6,1
64,K > 24 month,200.0,1.0,200.0,67.0,2.0,0.0,0.0,NO,7,1
65,K > 24 month,500.0,1.0,1314.0,438.0,3.0,0.0,537.0,NO,1,1
66,K > 24 month,3400.0,6.0,3437.0,1146.0,7.0,0.0,97.0,NO,31,1
67,K > 24 month,500.0,1.0,490.0,163.0,1.0,1727.0,7.0,NO,17,1
68,K > 24 month,19500.0,7.0,18492.0,6164.0,17.0,3730.0,801.0,NO,48,1
69,K > 24 month,5000.0,8.0,4992.0,1664.0,7.0,0.0,99.0,NO,25,1
70,K > 24 month,750.0,4.0,967.0,322.0,9.0,938.0,19.0,NO,18,1
71,K > 24 month,6600.0,11.0,6601.0,2200.0,18.0,5156.0,1.0,NO,14,1
72,K > 24 month,3000.0,4.0,2981.0,994.0,6.0,4625.0,5.0,NO,13,1
73,K > 24 month,200.0,1.0,200.0,67.0,1.0,162.0,2.0,NO,7,1
74,K > 24 month,3300.0,15.0,3587.0,1196.0,18.0,1.0,18.0,NO,12,1
75,K > 24 month,250.0,1.0,250.0,83.0,1.0,0.0,7.0,NO,4,1
76,K > 24 month,500.0,1.0,699.0,233.0,2.0,0.0,6.0,NO,6,1
77,K > 24 month,1100.0,6.0,700.0,233.0,7.0,0.0,9.0,NO,18,1
78,K > 24 month,200.0,1.0,200.0,67.0,1.0,409.0,0.0,NO,4,1
79,K > 24 month,2800.0,6.0,2795.0,932.0,13.0,0.0,32.0,NO,33,1
80,K > 24 month,1000.0,1.0,700.0,233.0,1.0,2.0,12.0,NO,30,1
81,K > 24 month,500.0,3.0,408.0,136.0,3.0,1379.0,1.0,NO,10,1
82,K > 24 month,1500.0,3.0,1493.0,498.0,3.0,3.0,1.0,NO,20,1
83,K > 24 month,600.0,2.0,560.0,187.0,14.0,36.0,0.0,NO,2,1
84,J 21-24 month,13750.0,20.0,13572.0,4524.0,22.0,37449.0,70.0,NO,38,1
85,K > 24 month,2700.0,12.0,2692.0,897.0,14.0,2196.0,14.0,NO,8,1
86,K > 24 month,1500.0,2.0,1501.0,500.0,4.0,1237.0,51.0,NO,1,1
87,K > 24 month,5500.0,6.0,5493.0,1831.0,7.0,0.0,144.0,NO,24,1
88,K > 24 month,1000.0,2.0,980.0,327.0,2.0,2967.0,2.0,NO,24,1
89,K > 24 month,10200.0,15.0,11200.0,3733.0,20.0,32184.0,63.0,NO,46,1
90,K > 24 month,5100.0,13.0,5299.0,1766.0,21.0,10097.0,4.0,NO,55,1
91,K > 24 month,17500.0,8.0,17498.0,5833.0,26.0,3373.0,13.0,NO,1,1
92,K > 24 month,1000.0,1.0,700.0,233.0,2.0,1136.0,0.0,NO,6,1
93,K > 24 month,1000.0,1.0,981.0,327.0,2.0,0.0,1.0,NO,6,1
94,K > 24 month,2100.0,7.0,2600.0,867.0,9.0,1288.0,0.0,NO,23,1
95,K > 24 month,1000.0,2.0,1000.0,333.0,3.0,2044.0,13.0,NO,8,1
96,K > 24 month,2000.0,2.0,2002.0,667.0,4.0,4787.0,0.0,NO,20,1
97,K > 24 month,1200.0,7.0,1201.0,400.0,8.0,0.0,10.0,NO,38,1
98,K > 24 month,550.0,2.0,543.0,181.0,4.0,791.0,7.0,NO,30,1
99,K > 24 month,2500.0,5.0,2500.0,833.0,5.0,84.0,4.0,NO,7,1
100,K > 24 month,500.0,1.0,500.0,167.0,1.0,1131.0,27.0,NO,1,1
101,K > 24 month,4500.0,6.0,4485.0,1495.0,6.0,2310.0,39.0,NO,35,1
102,I 18-21 month,300.0,2.0,298.0,99.0,3.0,53.0,2.0,NO,3,1
103,H 15-18 month,1500.0,2.0,2001.0,667.0,1.0,0.0,2896.0,NO,23,1
104,K > 24 month,27100.0,41.0,27518.0,9173.0,44.0,6611.0,7732.0,NO,39,1
105,K > 24 month,3000.0,6.0,3500.0,1167.0,8.0,1024.0,0.0,NO,30,1
106,K > 24 month,2600.0,3.0,2588.0,863.0,3.0,927.0,2.0,NO,18,1
107,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,1.0,NO,7,1
108,K > 24 month,1000.0,1.0,1000.0,333.0,1.0,0.0,79.0,NO,42,1
109,K > 24 month,1500.0,3.0,1490.0,497.0,4.0,1267.0,0.0,NO,29,1
110,K > 24 month,5950.0,18.0,5824.0,1941.0,18.0,5393.0,1.0,NO,33,1
111,K > 24 month,2600.0,24.0,2844.0,948.0,27.0,2957.0,0.0,NO,24,1
112,K > 24 month,500.0,1.0,500.0,167.0,1.0,1.0,10.0,NO,15,1
113,K > 24 month,15000.0,23.0,15000.0,5000.0,24.0,29335.0,7.0,NO,49,1
114,K > 24 month,1000.0,1.0,999.0,333.0,4.0,29.0,1.0,NO,10,1
115,K > 24 month,1650.0,4.0,1650.0,550.0,6.0,82.0,1.0,NO,15,1
116,K > 24 month,4550.0,13.0,4009.0,1336.0,12.0,1247.0,12.0,NO,28,1
117,K > 24 month,500.0,1.0,500.0,167.0,2.0,0.0,0.0,NO,5,1
118,K > 24 month,200.0,2.0,297.0,99.0,3.0,0.0,1.0,NO,3,1
119,K > 24 month,4000.0,4.0,4000.0,1333.0,6.0,0.0,8.0,NO,6,1
120,K > 24 month,500.0,1.0,486.0,162.0,2.0,1026.0,9.0,NO,23,1
121,K > 24 month,2200.0,4.0,2175.0,725.0,7.0,2502.0,6.0,NO,4,1
122,K > 24 month,650.0,2.0,831.0,277.0,4.0,75.0,8.0,NO,16,1
123,K > 24 month,1700.0,5.0,1700.0,567.0,7.0,0.0,159.0,NO,30,1
124,F 9-12 month,1000.0,1.0,1365.0,455.0,5.0,9675.0,441.0,NO,56,1
125,K > 24 month,2000.0,3.0,1970.0,657.0,3.0,4116.0,7.0,NO,40,1
126,K > 24 month,16500.0,25.0,16884.0,5628.0,31.0,28179.0,4.0,NO,37,1
127,K > 24 month,1200.0,12.0,1300.0,433.0,13.0,460.0,2.0,NO,16,1
128,K > 24 month,500.0,1.0,511.0,170.0,3.0,734.0,7.0,NO,3,1
129,K > 24 month,500.0,1.0,318.0,106.0,1.0,249.0,0.0,NO,3,1
130,K > 24 month,200.0,1.0,200.0,67.0,1.0,41.0,6.0,NO,32,1
131,K > 24 month,1000.0,2.0,1002.0,334.0,4.0,868.0,0.0,NO,17,1
132,K > 24 month,600.0,3.0,592.0,197.0,4.0,0.0,7.0,NO,22,1
133,K > 24 month,500.0,1.0,501.0,167.0,4.0,1.0,1.0,NO,20,1
134,K > 24 month,3600.0,13.0,4700.0,1567.0,18.0,509.0,9.0,NO,18,1
135,K > 24 month,1000.0,1.0,995.0,332.0,2.0,1517.0,12.0,NO,16,1
136,K > 24 month,5000.0,9.0,5009.0,1670.0,11.0,0.0,40.0,NO,44,1
137,K > 24 month,500.0,1.0,1496.0,499.0,2.0,3365.0,49.0,NO,24,1
138,K > 24 month,4000.0,7.0,3700.0,1233.0,14.0,2444.0,31.0,NO,11,1
139,K > 24 month,2000.0,2.0,2000.0,667.0,2.0,8652.0,0.0,NO,13,1
140,K > 24 month,3500.0,5.0,3199.0,1066.0,8.0,1056.0,8.0,NO,5,1
141,K > 24 month,2500.0,2.0,2150.0,717.0,2.0,5585.0,1.0,NO,2,1
142,K > 24 month,2000.0,4.0,1987.0,662.0,4.0,4113.0,27.0,NO,9,1
143,K > 24 month,200.0,2.0,200.0,67.0,2.0,1166.0,7.0,NO,5,1
144,K > 24 month,700.0,2.0,694.0,231.0,3.0,211.0,2.0,NO,12,1
145,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,930.0,0.0,NO,11,1
146,K > 24 month,4000.0,6.0,5000.0,1667.0,11.0,1.0,799.0,NO,42,1
147,K > 24 month,900.0,4.0,1000.0,333.0,7.0,0.0,14.0,NO,13,1
148,K > 24 month,3200.0,4.0,3194.0,1065.0,4.0,5793.0,0.0,NO,12,1
149,K > 24 month,600.0,3.0,601.0,200.0,8.0,0.0,2.0,NO,13,1
150,K > 24 month,4400.0,15.0,4791.0,1597.0,17.0,0.0,96.0,NO,36,1
151,K > 24 month,7850.0,12.0,8972.0,2991.0,16.0,125.0,77.0,NO,31,1
152,K > 24 month,7700.0,16.0,8560.0,2853.0,21.0,5996.0,112.0,NO,30,1
153,K > 24 month,2800.0,11.0,2900.0,967.0,15.0,0.0,120.0,NO,13,1
154,K > 24 month,600.0,2.0,596.0,199.0,2.0,7.0,2.0,NO,4,1
155,K > 24 month,400.0,2.0,388.0,129.0,2.0,0.0,0.0,NO,7,1
156,K > 24 month,700.0,2.0,691.0,230.0,2.0,0.0,9.0,NO,3,1
157,K > 24 month,500.0,1.0,500.0,167.0,1.0,697.0,4.0,NO,20,1
158,K > 24 month,2700.0,11.0,2691.0,897.0,14.0,1888.0,3.0,NO,12,1
159,K > 24 month,1700.0,4.0,3191.0,1064.0,7.0,6127.0,3.0,NO,19,1
160,K > 24 month,2500.0,3.0,2480.0,827.0,3.0,4154.0,13.0,NO,5,1
161,G 12-15 month,1000.0,2.0,999.0,333.0,6.0,153.0,0.0,NO,32,1
162,K > 24 month,2150.0,3.0,2149.0,716.0,6.0,1815.0,1.0,NO,11,1
163,K > 24 month,7350.0,13.0,7329.0,2443.0,18.0,10197.0,2.0,NO,32,1
164,K > 24 month,7000.0,11.0,8493.0,2831.0,19.0,3493.0,46.0,NO,25,1
165,K > 24 month,1250.0,4.0,1242.0,414.0,6.0,508.0,6.0,NO,29,1
166,K > 24 month,4000.0,5.0,3501.0,1167.0,6.0,0.0,76.0,NO,16,1
167,K > 24 month,750.0,2.0,745.0,248.0,3.0,20.0,0.0,NO,16,1
168,K > 24 month,3000.0,4.0,2990.0,997.0,5.0,936.0,24.0,NO,1,1
169,K > 24 month,3100.0,11.0,2991.0,997.0,12.0,0.0,1216.0,NO,17,1
170,K > 24 month,200.0,1.0,398.0,133.0,4.0,5.0,20.0,NO,12,1
171,K > 24 month,500.0,1.0,490.0,163.0,1.0,1104.0,5.0,NO,1,1
172,K > 24 month,2600.0,13.0,2701.0,900.0,15.0,1403.0,1.0,NO,47,1
173,K > 24 month,3500.0,7.0,4000.0,1333.0,8.0,0.0,188.0,NO,9,1
174,K > 24 month,4500.0,3.0,4498.0,1499.0,4.0,27.0,4.0,NO,6,1
175,K > 24 month,1000.0,1.0,990.0,330.0,1.0,2712.0,48.0,NO,54,1
176,K > 24 month,2000.0,4.0,1997.0,666.0,5.0,0.0,5.0,NO,13,1
177,K > 24 month,900.0,3.0,890.0,297.0,3.0,2557.0,1.0,NO,12,1
178,K > 24 month,6100.0,20.0,7299.0,2433.0,23.0,1666.0,90.0,NO,27,1
179,K > 24 month,1500.0,12.0,1486.0,495.0,14.0,1382.0,8.0,NO,29,1
180,K > 24 month,3000.0,6.0,2991.0,997.0,6.0,414.0,6.0,NO,22,1
181,K > 24 month,1200.0,3.0,1200.0,400.0,6.0,1938.0,5.0,NO,4,1
182,K > 24 month,1750.0,7.0,1725.0,575.0,9.0,909.0,0.0,NO,3,1
183,K > 24 month,1300.0,3.0,1282.0,427.0,4.0,1038.0,24.0,NO,21,1
184,K > 24 month,2200.0,12.0,2298.0,766.0,14.0,1508.0,222.0,NO,10,1
185,K > 24 month,1000.0,1.0,1000.0,333.0,1.0,241.0,7.0,NO,4,1
186,K > 24 month,5000.0,10.0,5000.0,1667.0,17.0,5808.0,1.0,NO,25,1
187,K > 24 month,2500.0,2.0,1225.0,408.0,9.0,3.0,4.0,NO,37,1
188,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,20.0,NO,8,1
189,K > 24 month,3700.0,7.0,3700.0,1233.0,12.0,45.0,112.0,NO,30,1
190,K > 24 month,500.0,1.0,487.0,162.0,3.0,0.0,27.0,NO,8,1
191,K > 24 month,1100.0,6.0,1100.0,367.0,7.0,1411.0,4.0,NO,1,1
192,K > 24 month,8400.0,5.0,10419.0,3473.0,6.0,814.0,473.0,NO,37,1
193,K > 24 month,500.0,1.0,1000.0,333.0,2.0,2.0,478.0,NO,9,1
194,K > 24 month,2000.0,2.0,1997.0,666.0,3.0,3070.0,7.0,NO,11,1
195,K > 24 month,2000.0,3.0,2000.0,667.0,7.0,971.0,25.0,NO,31,1
196,K > 24 month,1250.0,5.0,1250.0,417.0,6.0,250.0,539.0,NO,14,1
197,K > 24 month,1500.0,2.0,1498.0,499.0,3.0,3072.0,0.0,NO,15,1
198,K > 24 month,2100.0,4.0,2090.0,697.0,4.0,6339.0,9.0,NO,4,1
199,K > 24 month,4750.0,25.0,5143.0,1714.0,33.0,474.0,1247.0,NO,50,1
200,K > 24 month,10000.0,17.0,10000.0,3333.0,20.0,146.0,4946.0,NO,53,1
201,K > 24 month,450.0,2.0,948.0,316.0,5.0,0.0,1.0,NO,14,1
202,K > 24 month,750.0,2.0,750.0,250.0,2.0,0.0,73.0,NO,16,1
203,K > 24 month,2300.0,7.0,2286.0,762.0,11.0,1875.0,133.0,NO,31,1
204,K > 24 month,3500.0,6.0,4500.0,1500.0,8.0,459.0,1.0,NO,12,1
205,K > 24 month,1050.0,2.0,1049.0,350.0,2.0,0.0,43.0,NO,21,1
206,K > 24 month,1000.0,1.0,1011.0,337.0,3.0,31.0,5.0,NO,7,1
207,K > 24 month,8150.0,28.0,7149.0,2383.0,37.0,3821.0,29.0,NO,59,1
208,K > 24 month,4700.0,4.0,4638.0,1546.0,4.0,9637.0,32.0,NO,33,1
209,K > 24 month,1600.0,4.0,1601.0,534.0,8.0,0.0,5.0,NO,23,1
210,K > 24 month,63000.0,56.0,67169.0,22390.0,55.0,32371.0,387.0,NO,45,1
211,K > 24 month,725.0,5.0,675.0,225.0,5.0,200.0,1.0,NO,20,1
212,K > 24 month,4000.0,8.0,3490.0,1163.0,7.0,12041.0,0.0,NO,32,1
213,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,5.0,4.0,NO,27,1
214,K > 24 month,1700.0,4.0,2200.0,733.0,5.0,3091.0,156.0,NO,28,1
215,K > 24 month,4000.0,15.0,4249.0,1416.0,16.0,0.0,507.0,NO,41,1
216,K > 24 month,200.0,1.0,204.0,68.0,1.0,0.0,2.0,NO,17,1
217,K > 24 month,7900.0,32.0,7899.0,2633.0,37.0,641.0,83.0,NO,56,1
218,K > 24 month,1200.0,3.0,1210.0,403.0,4.0,610.0,384.0,NO,1,1
219,K > 24 month,1000.0,1.0,997.0,332.0,2.0,1351.0,31.0,NO,13,1
220,K > 24 month,1000.0,2.0,1010.0,337.0,2.0,101.0,28.0,NO,1,1
221,K > 24 month,4700.0,9.0,4694.0,1565.0,12.0,8742.0,1.0,NO,20,1
222,K > 24 month,3000.0,6.0,3504.0,1168.0,9.0,0.0,116.0,NO,15,1
223,K > 24 month,2550.0,7.0,2542.0,847.0,7.0,3521.0,7.0,NO,3,1
224,K > 24 month,1250.0,3.0,1259.0,420.0,8.0,10.0,1.0,NO,4,1
225,K > 24 month,2850.0,11.0,2849.0,950.0,12.0,0.0,478.0,NO,18,1
226,K > 24 month,4050.0,21.0,4051.0,1350.0,23.0,723.0,59.0,NO,58,1
227,K > 24 month,2000.0,3.0,1994.0,665.0,4.0,1037.0,5.0,NO,10,1
228,K > 24 month,6000.0,9.0,5417.0,1806.0,13.0,7624.0,7.0,NO,35,1
229,H 15-18 month,5750.0,19.0,5750.0,1917.0,21.0,8052.0,53.0,NO,22,1
230,K > 24 month,2500.0,5.0,2499.0,833.0,6.0,334.0,37.0,NO,36,1
231,K > 24 month,1000.0,1.0,1981.0,660.0,2.0,1763.0,41.0,NO,19,1
232,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,1.0,NO,6,1
233,K > 24 month,100.0,1.0,82.0,27.0,1.0,11.0,1.0,NO,1,1
234,K > 24 month,3800.0,14.0,3788.0,1263.0,14.0,8754.0,120.0,NO,41,1
235,K > 24 month,9000.0,30.0,9500.0,3167.0,35.0,71.0,2007.0,NO,41,1
236,K > 24 month,1800.0,4.0,1790.0,597.0,4.0,1750.0,7.0,NO,12,1
237,K > 24 month,200.0,1.0,200.0,67.0,1.0,1071.0,8.0,NO,12,1
238,K > 24 month,1000.0,1.0,992.0,331.0,2.0,1344.0,8.0,NO,15,1
239,K > 24 month,900.0,3.0,900.0,300.0,4.0,49.0,34.0,NO,17,1
240,K > 24 month,1700.0,4.0,1711.0,570.0,6.0,3265.0,25.0,NO,2,1
241,K > 24 month,13000.0,15.0,13490.0,4497.0,19.0,10150.0,65.0,NO,62,1
242,K > 24 month,11550.0,21.0,12049.0,4016.0,29.0,6109.0,3.0,NO,20,1
243,K > 24 month,50.0,1.0,51.0,17.0,3.0,0.0,0.0,NO,7,1
244,K > 24 month,200.0,1.0,184.0,61.0,1.0,185.0,3.0,NO,10,1
245,K > 24 month,1500.0,5.0,1499.0,500.0,5.0,1039.0,97.0,NO,8,1
246,K > 24 month,1000.0,2.0,1011.0,337.0,8.0,0.0,0.0,NO,6,1
247,K > 24 month,500.0,1.0,500.0,167.0,1.0,22.0,15.0,NO,6,1
248,K > 24 month,1400.0,3.0,1381.0,460.0,3.0,1319.0,7.0,NO,16,1
249,K > 24 month,500.0,1.0,500.0,167.0,1.0,2473.0,0.0,NO,6,1
250,K > 24 month,1000.0,2.0,1000.0,333.0,2.0,0.0,34.0,NO,23,1
251,K > 24 month,2000.0,4.0,1988.0,663.0,5.0,1182.0,9.0,NO,5,1
252,K > 24 month,3700.0,10.0,3947.0,1316.0,13.0,3092.0,1.0,NO,15,1
253,K > 24 month,100.0,1.0,81.0,27.0,2.0,2438.0,7.0,NO,10,1
254,K > 24 month,100.0,1.0,100.0,33.0,1.0,45.0,16.0,NO,9,1
255,K > 24 month,5000.0,10.0,5559.0,1853.0,14.0,7762.0,0.0,NO,57,1
256,K > 24 month,4500.0,9.0,4500.0,1500.0,9.0,0.0,129.0,NO,53,1
257,K > 24 month,1500.0,3.0,2000.0,667.0,4.0,0.0,690.0,NO,19,1
258,K > 24 month,1600.0,2.0,1598.0,533.0,2.0,773.0,8.0,NO,7,1
259,K > 24 month,3200.0,7.0,3461.0,1154.0,8.0,87.0,39.0,NO,29,1
260,I 18-21 month,2850.0,15.0,2921.0,974.0,18.0,142.0,36.0,NO,5,1
261,K > 24 month,11600.0,23.0,11601.0,3867.0,24.0,6691.0,5747.0,NO,61,1
262,K > 24 month,10050.0,13.0,12542.0,4181.0,22.0,18155.0,8.0,NO,9,1
263,K > 24 month,700.0,4.0,641.0,214.0,6.0,11.0,6.0,NO,16,1
264,K > 24 month,700.0,5.0,700.0,233.0,5.0,1306.0,43.0,NO,7,1
265,K > 24 month,400.0,2.0,281.0,94.0,2.0,0.0,1.0,NO,2,1
266,K > 24 month,2000.0,4.0,3000.0,1000.0,6.0,0.0,18.0,NO,28,1
267,K > 24 month,1200.0,5.0,1180.0,393.0,5.0,0.0,316.0,NO,13,1
268,K > 24 month,200.0,2.0,200.0,67.0,2.0,57.0,2.0,NO,9,1
269,K > 24 month,100.0,1.0,99.0,33.0,1.0,1.0,2.0,NO,5,1
270,K > 24 month,1000.0,1.0,990.0,330.0,1.0,505.0,8.0,NO,1,1
271,K > 24 month,2100.0,6.0,2100.0,700.0,7.0,2565.0,2.0,NO,20,1
272,K > 24 month,8600.0,19.0,9100.0,3033.0,21.0,8470.0,224.0,NO,7,1
273,K > 24 month,1000.0,2.0,999.0,333.0,4.0,1023.0,4.0,NO,2,1
274,K > 24 month,3000.0,6.0,3500.0,1167.0,22.0,1879.0,0.0,NO,35,1
275,K > 24 month,500.0,1.0,500.0,167.0,1.0,3.0,0.0,NO,5,1
276,K > 24 month,5000.0,10.0,5021.0,1674.0,19.0,11552.0,0.0,NO,28,1
277,K > 24 month,3500.0,6.0,3393.0,1131.0,10.0,0.0,0.0,NO,35,1
278,K > 24 month,5400.0,30.0,5609.0,1870.0,39.0,6217.0,3.0,NO,58,1
279,K > 24 month,3000.0,6.0,3000.0,1000.0,10.0,8.0,100.0,NO,31,1
280,K > 24 month,3900.0,6.0,3900.0,1300.0,9.0,1864.0,0.0,NO,42,1
281,K > 24 month,8500.0,8.0,8492.0,2831.0,18.0,7313.0,63.0,NO,39,1
282,K > 24 month,300.0,2.0,283.0,94.0,2.0,3.0,8.0,NO,7,1
283,J 21-24 month,500.0,1.0,500.0,167.0,1.0,1048.0,0.0,NO,30,1
284,K > 24 month,3250.0,13.0,3249.0,1083.0,18.0,17.0,4.0,NO,29,1
285,K > 24 month,6000.0,1.0,5994.0,1998.0,3.0,301.0,3.0,NO,1,1
286,K > 24 month,2600.0,5.0,2594.0,865.0,6.0,0.0,8.0,NO,8,1
287,K > 24 month,300.0,2.0,395.0,132.0,5.0,728.0,8.0,NO,3,1
288,K > 24 month,500.0,1.0,500.0,167.0,1.0,3.0,6.0,NO,7,1
289,K > 24 month,700.0,2.0,700.0,233.0,3.0,49.0,21.0,NO,8,1
290,K > 24 month,2500.0,5.0,2500.0,833.0,5.0,0.0,123.0,NO,23,1
291,K > 24 month,5000.0,1.0,5000.0,1667.0,1.0,2100.0,1.0,NO,1,1
292,K > 24 month,2500.0,5.0,2499.0,833.0,10.0,360.0,38.0,NO,19,1
293,K > 24 month,3300.0,10.0,3164.0,1055.0,13.0,406.0,24.0,NO,11,1
294,K > 24 month,26200.0,45.0,26887.0,8962.0,50.0,1.0,285.0,NO,44,1
295,K > 24 month,1000.0,1.0,990.0,330.0,1.0,2904.0,49.0,NO,9,1
296,K > 24 month,1800.0,9.0,1800.0,600.0,9.0,0.0,182.0,NO,49,1
297,H 15-18 month,300.0,1.0,698.0,233.0,4.0,57.0,8.0,NO,15,1
298,K > 24 month,2000.0,1.0,1998.0,666.0,9.0,0.0,1.0,NO,11,1
