MONTANT,FREQUENCE_RECH,REVENUE,FREQUENCE,DATA_VOLUME,ON_NET,REGULARITY,CHURN
500.0,1.0,500.0,1.0,2.0,16.0,6,1
700.0,2.0,692.0,5.0,0.0,9.0,17,1
400.0,3.0,500.0,4.0,382.0,2.0,15,1
1500.0,2.0,1492.0,3.0,2770.0,7.0,40,1
1300.0,3.0,1290.0,7.0,4135.0,4.0,34,1
300.0,3.0,300.0,3.0,288.0,1.0,1,1
4000.0,5.0,3999.0,6.0,593.0,8.0,12,1
6600.0,10.0,7002.0,11.0,2852.0,11.0,20,1
1750.0,3.0,2350.0,7.0,606.0,98.0,21,1
300.0,1.0,288.0,2.0,207.0,7.0,9,1
73500.0,29.0,88688.0,37.0,14848.0,178.0,53,1
400.0,3.0,399.0,4.0,181.0,0.0,1,1
500.0,1.0,500.0,1.0,0.0,1.0,15,1
2000.0,3.0,1996.0,3.0,0.0,26.0,2,1
3600.0,5.0,3587.0,7.0,652.0,1.0,2,1
3500.0,4.0,6009.0,7.0,11909.0,1.0,30,1
500.0,1.0,500.0,1.0,10.0,0.0,4,1
1000.0,1.0,990.0,1.0,3.0,3.0,1,1
5000.0,10.0,5210.0,14.0,9547.0,1.0,16,1
1050.0,4.0,944.0,3.0,2193.0,0.0,20,1
1800.0,5.0,2000.0,6.0,4.0,33.0,34,1
2650.0,10.0,2611.0,13.0,3026.0,7.0,61,1
4400.0,14.0,4757.0,21.0,8614.0,0.0,2,1
11500.0,23.0,11457.0,27.0,24619.0,0.0,58,1
1700.0,5.0,1653.0,7.0,1.0,3.0,18,1
800.0,3.0,800.0,3.0,460.0,8.0,6,1
200.0,1.0,200.0,2.0,0.0,0.0,7,1
500.0,1.0,1314.0,3.0,0.0,537.0,1,1
3400.0,6.0,3437.0,7.0,0.0,97.0,31,1
500.0,1.0,490.0,1.0,1727.0,7.0,17,1
19500.0,7.0,18492.0,17.0,3730.0,801.0,48,1
5000.0,8.0,4992.0,7.0,0.0,99.0,25,1
750.0,4.0,967.0,9.0,938.0,19.0,18,1
6600.0,11.0,6601.0,18.0,5156.0,1.0,14,1
3000.0,4.0,2981.0,6.0,4625.0,5.0,13,1
200.0,1.0,200.0,1.0,162.0,2.0,7,1
3300.0,15.0,3587.0,18.0,1.0,18.0,12,1
250.0,1.0,250.0,1.0,0.0,7.0,4,1
500.0,1.0,699.0,2.0,0.0,6.0,6,1
1100.0,6.0,700.0,7.0,0.0,9.0,18,1
200.0,1.0,200.0,1.0,409.0,0.0,4,1
2800.0,6.0,2795.0,13.0,0.0,32.0,33,1
1000.0,1.0,700.0,1.0,2.0,12.0,30,1
500.0,3.0,408.0,3.0,1379.0,1.0,10,1
1500.0,3.0,1493.0,3.0,3.0,1.0,20,1
600.0,2.0,560.0,14.0,36.0,0.0,2,1
13750.0,20.0,13572.0,22.0,37449.0,70.0,38,1
2700.0,12.0,2692.0,14.0,2196.0,14.0,8,1
1500.0,2.0,1501.0,4.0,1237.0,51.0,1,1
5500.0,6.0,5493.0,7.0,0.0,144.0,24,1
1000.0,2.0,980.0,2.0,2967.0,2.0,24,1
10200.0,15.0,11200.0,20.0,32184.0,63.0,46,1
5100.0,13.0,5299.0,21.0,10097.0,4.0,55,1
17500.0,8.0,17498.0,26.0,3373.0,13.0,1,1
1000.0,1.0,700.0,2.0,1136.0,0.0,6,1
1000.0,1.0,981.0,2.0,0.0,1.0,6,1
2100.0,7.0,2600.0,9.0,1288.0,0.0,23,1
1000.0,2.0,1000.0,3.0,2044.0,13.0,8,1
2000.0,2.0,2002.0,4.0,4787.0,0.0,20,1
1200.0,7.0,1201.0,8.0,0.0,10.0,38,1
550.0,2.0,543.0,4.0,791.0,7.0,30,1
2500.0,5.0,2500.0,5.0,84.0,4.0,7,1
500.0,1.0,500.0,1.0,1131.0,27.0,1,1
4500.0,6.0,4485.0,6.0,2310.0,39.0,35,1
300.0,2.0,298.0,3.0,53.0,2.0,3,1
1500.0,2.0,2001.0,1.0,0.0,2896.0,23,1
27100.0,41.0,27518.0,44.0,6611.0,7732.0,39,1
3000.0,6.0,3500.0,8.0,1024.0,0.0,30,1
2600.0,3.0,2588.0,3.0,927.0,2.0,18,1
500.0,1.0,500.0,1.0,0.0,1.0,7,1
1000.0,1.0,1000.0,1.0,0.0,79.0,42,1
1500.0,3.0,1490.0,4.0,1267.0,0.0,29,1
5950.0,18.0,5824.0,18.0,5393.0,1.0,33,1
2600.0,24.0,2844.0,27.0,2957.0,0.0,24,1
500.0,1.0,500.0,1.0,1.0,10.0,15,1
15000.0,23.0,15000.0,24.0,29335.0,7.0,49,1
1000.0,1.0,999.0,4.0,29.0,1.0,10,1
1650.0,4.0,1650.0,6.0,82.0,1.0,15,1
4550.0,13.0,4009.0,12.0,1247.0,12.0,28,1
500.0,1.0,500.0,2.0,0.0,0.0,5,1
200.0,2.0,297.0,3.0,0.0,1.0,3,1
4000.0,4.0,4000.0,6.0,0.0,8.0,6,1
500.0,1.0,486.0,2.0,1026.0,9.0,23,1
2200.0,4.0,2175.0,7.0,2502.0,6.0,4,1
650.0,2.0,831.0,4.0,75.0,8.0,16,1
1700.0,5.0,1700.0,7.0,0.0,159.0,30,1
1000.0,1.0,1365.0,5.0,9675.0,441.0,56,1
2000.0,3.0,1970.0,3.0,4116.0,7.0,40,1
16500.0,25.0,16884.0,31.0,28179.0,4.0,37,1
1200.0,12.0,1300.0,13.0,460.0,2.0,16,1
500.0,1.0,511.0,3.0,734.0,7.0,3,1
500.0,1.0,318.0,1.0,249.0,0.0,3,1
200.0,1.0,200.0,1.0,41.0,6.0,32,1
1000.0,2.0,1002.0,4.0,868.0,0.0,17,1
600.0,3.0,592.0,4.0,0.0,7.0,22,1
500.0,1.0,501.0,4.0,1.0,1.0,20,1
3600.0,13.0,4700.0,18.0,509.0,9.0,18,1
1000.0,1.0,995.0,2.0,1517.0,12.0,16,1
5000.0,9.0,5009.0,11.0,0.0,40.0,44,1
500.0,1.0,1496.0,2.0,3365.0,49.0,24,1
4000.0,7.0,3700.0,14.0,2444.0,31.0,11,1
2000.0,2.0,2000.0,2.0,8652.0,0.0,13,1
3500.0,5.0,3199.0,8.0,1056.0,8.0,5,1
2500.0,2.0,2150.0,2.0,5585.0,1.0,2,1
2000.0,4.0,1987.0,4.0,4113.0,27.0,9,1
200.0,2.0,200.0,2.0,1166.0,7.0,5,1
700.0,2.0,694.0,3.0,211.0,2.0,12,1
1500.0,3.0,1500.0,3.0,930.0,0.0,11,1
4000.0,6.0,5000.0,11.0,1.0,799.0,42,1
900.0,4.0,1000.0,7.0,0.0,14.0,13,1
3200.0,4.0,3194.0,4.0,5793.0,0.0,12,1
600.0,3.0,601.0,8.0,0.0,2.0,13,1
4400.0,15.0,4791.0,17.0,0.0,96.0,36,1
7850.0,12.0,8972.0,16.0,125.0,77.0,31,1
7700.0,16.0,8560.0,21.0,5996.0,112.0,30,1
2800.0,11.0,2900.0,15.0,0.0,120.0,13,1
600.0,2.0,596.0,2.0,7.0,2.0,4,1
400.0,2.0,388.0,2.0,0.0,0.0,7,1
700.0,2.0,691.0,2.0,0.0,9.0,3,1
500.0,1.0,500.0,1.0,697.0,4.0,20,1
2700.0,11.0,2691.0,14.0,1888.0,3.0,12,1
1700.0,4.0,3191.0,7.0,6127.0,3.0,19,1
2500.0,3.0,2480.0,3.0,4154.0,13.0,5,1
1000.0,2.0,999.0,6.0,153.0,0.0,32,1
2150.0,3.0,2149.0,6.0,1815.0,1.0,11,1
7350.0,13.0,7329.0,18.0,10197.0,2.0,32,1
7000.0,11.0,8493.0,19.0,3493.0,46.0,25,1
1250.0,4.0,1242.0,6.0,508.0,6.0,29,1
4000.0,5.0,3501.0,6.0,0.0,76.0,16,1
750.0,2.0,745.0,3.0,20.0,0.0,16,1
3000.0,4.0,2990.0,5.0,936.0,24.0,1,1
3100.0,11.0,2991.0,12.0,0.0,1216.0,17,1
200.0,1.0,398.0,4.0,5.0,20.0,12,1
500.0,1.0,490.0,1.0,1104.0,5.0,1,1
2600.0,13.0,2701.0,15.0,1403.0,1.0,47,1
3500.0,7.0,4000.0,8.0,0.0,188.0,9,1
4500.0,3.0,4498.0,4.0,27.0,4.0,6,1
1000.0,1.0,990.0,1.0,2712.0,48.0,54,1
2000.0,4.0,1997.0,5.0,0.0,5.0,13,1
900.0,3.0,890.0,3.0,2557.0,1.0,12,1
6100.0,20.0,7299.0,23.0,1666.0,90.0,27,1
1500.0,12.0,1486.0,14.0,1382.0,8.0,29,1
3000.0,6.0,2991.0,6.0,414.0,6.0,22,1
1200.0,3.0,1200.0,6.0,1938.0,5.0,4,1
1750.0,7.0,1725.0,9.0,909.0,0.0,3,1
1300.0,3.0,1282.0,4.0,1038.0,24.0,21,1
2200.0,12.0,2298.0,14.0,1508.0,222.0,10,1
1000.0,1.0,1000.0,1.0,241.0,7.0,4,1
5000.0,10.0,5000.0,17.0,5808.0,1.0,25,1
2500.0,2.0,1225.0,9.0,3.0,4.0,37,1
500.0,1.0,500.0,1.0,0.0,20.0,8,1
3700.0,7.0,3700.0,12.0,45.0,112.0,30,1
500.0,1.0,487.0,3.0,0.0,27.0,8,1
1100.0,6.0,1100.0,7.0,1411.0,4.0,1,1
8400.0,5.0,10419.0,6.0,814.0,473.0,37,1
500.0,1.0,1000.0,2.0,2.0,478.0,9,1
2000.0,2.0,1997.0,3.0,3070.0,7.0,11,1
2000.0,3.0,2000.0,7.0,971.0,25.0,31,1
1250.0,5.0,1250.0,6.0,250.0,539.0,14,1
1500.0,2.0,1498.0,3.0,3072.0,0.0,15,1
2100.0,4.0,2090.0,4.0,6339.0,9.0,4,1
4750.0,25.0,5143.0,33.0,474.0,1247.0,50,1
10000.0,17.0,10000.0,20.0,146.0,4946.0,53,1
450.0,2.0,948.0,5.0,0.0,1.0,14,1
750.0,2.0,750.0,2.0,0.0,73.0,16,1
2300.0,7.0,2286.0,11.0,1875.0,133.0,31,1
3500.0,6.0,4500.0,8.0,459.0,1.0,12,1
1050.0,2.0,1049.0,2.0,0.0,43.0,21,1
1000.0,1.0,1011.0,3.0,31.0,5.0,7,1
8150.0,28.0,7149.0,37.0,3821.0,29.0,59,1
4700.0,4.0,4638.0,4.0,9637.0,32.0,33,1
1600.0,4.0,1601.0,8.0,0.0,5.0,23,1
63000.0,56.0,67169.0,55.0,32371.0,387.0,45,1
725.0,5.0,675.0,5.0,200.0,1.0,20,1
4000.0,8.0,3490.0,7.0,12041.0,0.0,32,1
1500.0,3.0,1500.0,3.0,5.0,4.0,27,1
1700.0,4.0,2200.0,5.0,3091.0,156.0,28,1
4000.0,15.0,4249.0,16.0,0.0,507.0,41,1
200.0,1.0,204.0,1.0,0.0,2.0,17,1
7900.0,32.0,7899.0,37.0,641.0,83.0,56,1
1200.0,3.0,1210.0,4.0,610.0,384.0,1,1
1000.0,1.0,997.0,2.0,1351.0,31.0,13,1
1000.0,2.0,1010.0,2.0,101.0,28.0,1,1
4700.0,9.0,4694.0,12.0,8742.0,1.0,20,1
3000.0,6.0,3504.0,9.0,0.0,116.0,15,1
2550.0,7.0,2542.0,7.0,3521.0,7.0,3,1
1250.0,3.0,1259.0,8.0,10.0,1.0,4,1
2850.0,11.0,2849.0,12.0,0.0,478.0,18,1
4050.0,21.0,4051.0,23.0,723.0,59.0,58,1
2000.0,3.0,1994.0,4.0,1037.0,5.0,10,1
6000.0,9.0,5417.0,13.0,7624.0,7.0,35,1
5750.0,19.0,5750.0,21.0,8052.0,53.0,22,1
2500.0,5.0,2499.0,6.0,334.0,37.0,36,1
1000.0,1.0,1981.0,2.0,1763.0,41.0,19,1
500.0,1.0,500.0,1.0,0.0,1.0,6,1
100.0,1.0,82.0,1.0,11.0,1.0,1,1
3800.0,14.0,3788.0,14.0,8754.0,120.0,41,1
9000.0,30.0,9500.0,35.0,71.0,2007.0,41,1
1800.0,4.0,1790.0,4.0,1750.0,7.0,12,1
200.0,1.0,200.0,1.0,1071.0,8.0,12,1
1000.0,1.0,992.0,2.0,1344.0,8.0,15,1
900.0,3.0,900.0,4.0,49.0,34.0,17,1
1700.0,4.0,1711.0,6.0,3265.0,25.0,2,1
13000.0,15.0,13490.0,19.0,10150.0,65.0,62,1
11550.0,21.0,12049.0,29.0,6109.0,3.0,20,1
50.0,1.0,51.0,3.0,0.0,0.0,7,1
200.0,1.0,184.0,1.0,185.0,3.0,10,1
1500.0,5.0,1499.0,5.0,1039.0,97.0,8,1
1000.0,2.0,1011.0,8.0,0.0,0.0,6,1
500.0,1.0,500.0,1.0,22.0,15.0,6,1
1400.0,3.0,1381.0,3.0,1319.0,7.0,16,1
500.0,1.0,500.0,1.0,2473.0,0.0,6,1
1000.0,2.0,1000.0,2.0,0.0,34.0,23,1
2000.0,4.0,1988.0,5.0,1182.0,9.0,5,1
3700.0,10.0,3947.0,13.0,3092.0,1.0,15,1
100.0,1.0,81.0,2.0,2438.0,7.0,10,1
100.0,1.0,100.0,1.0,45.0,16.0,9,1
5000.0,10.0,5559.0,14.0,7762.0,0.0,57,1
4500.0,9.0,4500.0,9.0,0.0,129.0,53,1
1500.0,3.0,2000.0,4.0,0.0,690.0,19,1
1600.0,2.0,1598.0,2.0,773.0,8.0,7,1
3200.0,7.0,3461.0,8.0,87.0,39.0,29,1
2850.0,15.0,2921.0,18.0,142.0,36.0,5,1
11600.0,23.0,11601.0,24.0,6691.0,5747.0,61,1
10050.0,13.0,12542.0,22.0,18155.0,8.0,9,1
700.0,4.0,641.0,6.0,11.0,6.0,16,1
700.0,5.0,700.0,5.0,1306.0,43.0,7,1
400.0,2.0,281.0,2.0,0.0,1.0,2,1
2000.0,4.0,3000.0,6.0,0.0,18.0,28,1
1200.0,5.0,1180.0,5.0,0.0,316.0,13,1
200.0,2.0,200.0,2.0,57.0,2.0,9,1
100.0,1.0,99.0,1.0,1.0,2.0,5,1
1000.0,1.0,990.0,1.0,505.0,8.0,1,1
2100.0,6.0,2100.0,7.0,2565.0,2.0,20,1
8600.0,19.0,9100.0,21.0,8470.0,224.0,7,1
1000.0,2.0,999.0,4.0,1023.0,4.0,2,1
3000.0,6.0,3500.0,22.0,1879.0,0.0,35,1
500.0,1.0,500.0,1.0,3.0,0.0,5,1
5000.0,10.0,5021.0,19.0,11552.0,0.0,28,1
3500.0,6.0,3393.0,10.0,0.0,0.0,35,1
5400.0,30.0,5609.0,39.0,6217.0,3.0,58,1
3000.0,6.0,3000.0,10.0,8.0,100.0,31,1
3900.0,6.0,3900.0,9.0,1864.0,0.0,42,1
8500.0,8.0,8492.0,18.0,7313.0,63.0,39,1
300.0,2.0,283.0,2.0,3.0,8.0,7,1
500.0,1.0,500.0,1.0,1048.0,0.0,30,1
3250.0,13.0,3249.0,18.0,17.0,4.0,29,1
6000.0,1.0,5994.0,3.0,301.0,3.0,1,1
2600.0,5.0,2594.0,6.0,0.0,8.0,8,1
300.0,2.0,395.0,5.0,728.0,8.0,3,1
500.0,1.0,500.0,1.0,3.0,6.0,7,1
700.0,2.0,700.0,3.0,49.0,21.0,8,1
2500.0,5.0,2500.0,5.0,0.0,123.0,23,1
5000.0,1.0,5000.0,1.0,2100.0,1.0,1,1
2500.0,5.0,2499.0,10.0,360.0,38.0,19,1
3300.0,10.0,3164.0,13.0,406.0,24.0,11,1
26200.0,45.0,26887.0,50.0,1.0,285.0,44,1
1000.0,1.0,990.0,1.0,2904.0,49.0,9,1
1800.0,9.0,1800.0,9.0,0.0,182.0,49,1
300.0,1.0,698.0,4.0,57.0,8.0,15,1
2000.0,1.0,1998.0,9.0,0.0,1.0,11,1
200.0,1.0,200.0,1.0,1032.0,8.0,10,1
4600.0,7.0,4321.0,14.0,4956.0,0.0,44,1
2200.0,8.0,2197.0,9.0,531.0,5.0,23,1
2000.0,6.0,2792.0,8.0,324.0,25.0,10,1
18150.0,58.0,18949.0,65.0,13115.0,2119.0,56,1
2600.0,12.0,2583.0,13.0,2555.0,2.0,28,1
6000.0,5.0,5999.0,3.0,21.0,2.0,7,1
500.0,1.0,490.0,1.0,145.0,1.0,9,1
4950.0,13.0,5051.0,22.0,0.0,3.0,15,1
106900.0,47.0,108216.0,43.0,472.0,78.0,19,1
6000.0,10.0,6500.0,10.0,372.0,25.0,2,1
3840.0,2.0,990.0,1.0,1701.0,1.0,37,1
500.0,1.0,500.0,1.0,0.0,2.0,1,1
100.0,1.0,100.0,1.0,396.0,8.0,6,1
4000.0,11.0,3747.0,13.0,588.0,135.0,23,1
3800.0,10.0,4488.0,14.0,8030.0,10.0,25,1
15950.0,44.0,16249.0,60.0,78996.0,2089.0,60,1
1600.0,7.0,1600.0,7.0,2781.0,6.0,3,1
3700.0,9.0,3705.0,9.0,0.0,0.0,17,1
4600.0,7.0,4596.0,9.0,9002.0,6.0,32,1
4300.0,10.0,4290.0,14.0,10963.0,2.0,44,1
500.0,1.0,500.0,1.0,4.0,0.0,5,1
500.0,1.0,500.0,1.0,1.0,1.0,9,1
7600.0,15.0,7610.0,16.0,0.0,5803.0,48,1
1000.0,1.0,1004.0,4.0,0.0,0.0,4,1
5000.0,10.0,5000.0,10.0,24.0,36.0,31,1
1500.0,2.0,1490.0,2.0,2045.0,10.0,14,1
3900.0,15.0,3901.0,18.0,652.0,3.0,31,1
1500.0,2.0,1498.0,3.0,2057.0,20.0,18,1
3000.0,4.0,2989.0,5.0,6513.0,27.0,22,1
200.0,1.0,200.0,1.0,943.0,2.0,12,1
12300.0,23.0,12815.0,24.0,10094.0,2347.0,35,1
16000.0,4.0,4080.0,8.0,0.0,31.0,19,1
1100.0,3.0,1096.0,2.0,19.0,3.0,3,1
3000.0,3.0,2970.0,3.0,9278.0,3.0,3,1
500.0,1.0,503.0,2.0,373.0,2.0,13,1
1700.0,7.0,1700.0,7.0,1737.0,92.0,14,1
500.0,1.0,496.0,2.0,0.0,8.0,10,1
500.0,1.0,491.0,1.0,11.0,0.0,4,1
3500.0,3.0,3198.0,4.0,650.0,0.0,22,1
100.0,1.0,82.0,1.0,948.0,0.0,9,1
500.0,1.0,496.0,1.0,3.0,0.0,1,1
1200.0,7.0,1236.0,9.0,1.0,6.0,62,1
4500.0,9.0,4512.0,15.0,9868.0,0.0,34,1
1500.0,3.0,1700.0,5.0,49.0,0.0,3,1
1500.0,1.0,1500.0,1.0,1023.0,6.0,19,1
1000.0,1.0,1020.0,3.0,2150.0,0.0,24,1
2300.0,6.0,2277.0,7.0,100.0,1.0,21,1
1200.0,5.0,1200.0,5.0,130.0,29.0,15,1
2800.0,6.0,2799.0,7.0,2460.0,77.0,22,1
500.0,1.0,908.0,7.0,863.0,3.0,10,1
4000.0,13.0,3411.0,17.0,4452.0,2.0,5,1
3000.0,4.0,3000.0,7.0,47.0,19.0,4,1
500.0,4.0,492.0,5.0,1898.0,42.0,35,1
12000.0,5.0,11999.0,17.0,7675.0,3.0,26,1
200.0,1.0,198.0,1.0,0.0,2.0,26,1
250.0,1.0,247.0,1.0,656.0,8.0,5,1
3500.0,4.0,3488.0,4.0,5633.0,38.0,40,1
500.0,1.0,5.0,1.0,443.0,3.0,6,1
400.0,2.0,400.0,2.0,216.0,4.0,11,1
200.0,1.0,200.0,1.0,0.0,4.0,36,1
1500.0,2.0,1490.0,3.0,2726.0,0.0,2,1
500.0,1.0,499.0,1.0,150.0,0.0,4,1
8500.0,15.0,8489.0,17.0,1202.0,82.0,46,1
350.0,2.0,350.0,2.0,53.0,104.0,8,1
2000.0,2.0,2000.0,2.0,48.0,5.0,12,1
1000.0,1.0,1000.0,1.0,11.0,3.0,3,1
1500.0,3.0,1470.0,3.0,3739.0,2.0,17,1
2500.0,3.0,2500.0,3.0,797.0,171.0,14,1
650.0,2.0,649.0,2.0,0.0,8.0,20,1
2250.0,10.0,2152.0,13.0,0.0,6.0,28,1
3400.0,7.0,3400.0,8.0,6240.0,8.0,51,1
500.0,1.0,500.0,1.0,3.0,79.0,5,1
500.0,1.0,500.0,1.0,0.0,0.0,38,1
250.0,2.0,252.0,5.0,184.0,3.0,34,1
1700.0,3.0,1707.0,3.0,3074.0,8.0,2,1
400.0,2.0,400.0,2.0,0.0,42.0,40,1
5000.0,5.0,5001.0,6.0,6160.0,2.0,6,1
500.0,1.0,500.0,1.0,0.0,3.0,2,1
200.0,2.0,201.0,2.0,213.0,11.0,20,1
10300.0,17.0,11862.0,18.0,659.0,260.0,9,1
3200.0,7.0,3200.0,7.0,2.0,28.0,14,1
1400.0,6.0,2001.0,11.0,3127.0,1.0,12,1
800.0,4.0,800.0,4.0,314.0,0.0,20,1
2600.0,5.0,2586.0,6.0,7169.0,11.0,25,1
1600.0,4.0,1603.0,4.0,522.0,10.0,1,1
7000.0,14.0,7999.0,16.0,21.0,80.0,33,1
6000.0,6.0,5550.0,7.0,100.0,68.0,17,1
3800.0,29.0,4000.0,31.0,2895.0,2.0,43,1
2000.0,3.0,1997.0,4.0,0.0,133.0,16,1
2000.0,4.0,2000.0,4.0,97.0,88.0,16,1
1600.0,4.0,1597.0,5.0,1274.0,4.0,13,1
8400.0,12.0,8968.0,24.0,15735.0,53.0,52,1
500.0,1.0,494.0,1.0,310.0,20.0,10,1
300.0,1.0,1100.0,3.0,0.0,0.0,10,1
500.0,1.0,500.0,1.0,167.0,8.0,10,1
700.0,3.0,700.0,4.0,0.0,19.0,59,1
2950.0,10.0,2951.0,9.0,1637.0,129.0,6,1
350.0,3.0,350.0,5.0,0.0,9.0,25,1
200.0,1.0,199.0,1.0,0.0,5.0,18,1
750.0,3.0,943.0,6.0,0.0,9.0,13,1
4700.0,8.0,4701.0,13.0,3404.0,4.0,16,1
2000.0,2.0,2000.0,2.0,0.0,11.0,14,1
6500.0,7.0,7488.0,8.0,0.0,135.0,1,1
2100.0,5.0,2090.0,6.0,4100.0,35.0,23,1
1000.0,1.0,2655.0,3.0,518.0,247.0,33,1
8000.0,9.0,8001.0,19.0,948.0,1.0,18,1
750.0,2.0,1259.0,5.0,0.0,2.0,12,1
600.0,2.0,600.0,3.0,0.0,0.0,14,1
1000.0,2.0,1011.0,5.0,2370.0,0.0,7,1
1600.0,4.0,1570.0,4.0,5223.0,8.0,14,1
1000.0,2.0,980.0,2.0,2029.0,2.0,14,1
2500.0,5.0,2492.0,6.0,3826.0,1.0,8,1
1800.0,4.0,1798.0,7.0,980.0,30.0,1,1
4000.0,4.0,3240.0,6.0,666.0,40.0,12,1
100.0,1.0,81.0,2.0,81.0,4.0,9,1
4000.0,10.0,3949.0,13.0,5484.0,13.0,51,1
6000.0,6.0,6480.0,12.0,13487.0,2.0,29,1
100.0,1.0,102.0,2.0,0.0,1.0,9,1
2050.0,5.0,2340.0,8.0,3551.0,6.0,10,1
300.0,3.0,291.0,4.0,121.0,7.0,14,1
9350.0,21.0,9836.0,26.0,1822.0,378.0,48,1
3500.0,3.0,3132.0,6.0,476.0,4.0,1,1
400.0,2.0,400.0,3.0,0.0,1.0,24,1
250.0,1.0,241.0,1.0,1286.0,4.0,9,1
3600.0,15.0,3602.0,20.0,6.0,102.0,36,1
2500.0,3.0,2490.0,5.0,4138.0,39.0,47,1
5750.0,9.0,5409.0,9.0,7238.0,146.0,5,1
4150.0,10.0,4647.0,15.0,13338.0,2.0,26,1
500.0,1.0,492.0,2.0,693.0,5.0,1,1
1850.0,11.0,2049.0,22.0,0.0,4.0,26,1
500.0,1.0,500.0,1.0,0.0,8.0,59,1
10000.0,15.0,10020.0,20.0,24012.0,5.0,54,1
700.0,3.0,700.0,3.0,0.0,0.0,24,1
2050.0,10.0,2050.0,14.0,905.0,2.0,12,1
2500.0,5.0,3003.0,8.0,0.0,0.0,12,1
500.0,1.0,490.0,1.0,529.0,0.0,22,1
13800.0,46.0,13550.0,44.0,14344.0,3.0,41,1
500.0,1.0,500.0,1.0,5.0,4.0,5,1
100.0,1.0,141.0,1.0,21.0,0.0,3,1
500.0,1.0,306.0,4.0,365.0,1.0,14,1
4750.0,19.0,4750.0,19.0,10342.0,230.0,39,1
500.0,1.0,499.0,2.0,1530.0,0.0,8,1
2000.0,1.0,1999.0,2.0,184.0,3.0,12,1
5000.0,1.0,4998.0,6.0,0.0,2.0,9,1
19000.0,19.0,19501.0,19.0,0.0,161.0,5,1
500.0,1.0,495.0,4.0,1.0,1.0,18,1
6000.0,7.0,5983.0,6.0,1228.0,18.0,9,1
4000.0,8.0,3761.0,12.0,206.0,0.0,24,1
2400.0,8.0,2589.0,13.0,1861.0,9.0,22,1
500.0,1.0,490.0,1.0,0.0,2.0,1,1
10550.0,22.0,11151.0,26.0,18.0,2612.0,40,1
700.0,2.0,700.0,3.0,5133.0,130.0,6,1
1200.0,7.0,1300.0,8.0,1062.0,7.0,13,1
3100.0,6.0,3086.0,7.0,6585.0,0.0,21,1
2000.0,4.0,2009.0,7.0,1210.0,0.0,15,1
8000.0,12.0,8488.0,22.0,7179.0,3.0,51,1
11650.0,21.0,13651.0,32.0,9191.0,7.0,17,1
3100.0,7.0,3096.0,10.0,25.0,22.0,30,1
500.0,1.0,495.0,2.0,626.0,0.0,17,1
200.0,1.0,186.0,1.0,1026.0,8.0,5,1
8000.0,2.0,7702.0,15.0,1633.0,720.0,61,1
10500.0,11.0,11490.0,12.0,55860.0,1.0,50,1
1600.0,2.0,1581.0,4.0,1563.0,1.0,6,1
500.0,1.0,508.0,4.0,224.0,0.0,16,1
500.0,1.0,492.0,2.0,1020.0,6.0,3,1
